"Title","Economic inactivity by qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Department for Education"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography code","Geography_type","Gender","Age","Highest qualification held","Qualification_type","Value","Value_type","Denominator","Numerator","upper 95% CI","lower 95% CI","Sample size"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","19.4","%","2,905,560","564,636","20.10%","18.70%","12,539"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","26.3","%","2,946,702","775,930","27.10%","25.60%","13,440"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","38.1","%","40,554","15,450","50.40%","25.80%","151"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","42.2","%","125,918","53,118","49.10%","35.30%","492"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","28.8","%","96,768","27,914","36.90%","20.80%","304"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","42.0","%","29,775","12,500","55.90%","28.10%","121"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","37.2","%","293,014","108,981","41.80%","32.60%","1,067"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","27.3","%","3,241,562","885,533","28.00%","26.60%","14,515"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","33.7","%","1,904,293","642,240","34.70%","32.70%","8,655"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","53.2","%","102,572","54,613","60.90%","45.60%","408"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","39.3","%","53,610","21,089","50.30%","28.40%","192"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","55.2","%","29,015","16,026","69.90%","40.60%","111"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","48.7","%","209,666","102,078","54.20%","43.20%","801"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","35.2","%","2,115,587","744,623","36.20%","34.20%","9,461"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","26.4","%","801652","211513","27.80%","25.00%","3718"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","54.4","%","157269","85518","60.50%","48.30%","645"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","38.7","%","52362","20268","49.50%","28.00%","197"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","39.3","%","62145","24454","49.10%","29.60%","242"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","47.9","%","280487","134258","52.50%","43.20%","1120"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","32.0","%","1083807","346374","33.30%","30.60%","4846"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","58.7","%","1,266,414","742,858","59.90%","57.50%","6,471"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","77.6","%","177,178","137,513","82.30%","72.90%","759"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","49.1","%","48,466","23,802","60.50%","37.80%","186"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","69.9","%","53,865","37,660","79.80%","60.10%","208"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","70.5","%","295,749","208,621","74.60%","66.50%","1,214"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","60.9","%","1,562,531","951,847","62.00%","59.80%","7,687"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","45.8","%","35646","16334","53.80%","37.90%","151"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","50.4","%","43552","21938","57.70%","43.10%","180"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","23.5","%","15,992,367","3,758,940","23.80%","23.20%","72,073"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","25.5","%","235,123","60,015","30.20%","20.80%","823"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","40.9","%","1,256,768","513,829","43.10%","38.70%","4,907"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","24.4","%","633,702","154,458","27.30%","21.50%","2,130"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","37.8","%","439,661","166,259","41.60%","34.10%","1,593"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","34.9","%","2,565,254","894,561","36.40%","33.40%","9,453"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","25.1","%","18,572,754","4,658,989","25.40%","24.80%","81,579"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","10.9","%","12,294,366","1,343,558","11.20%","10.70%","51,026"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","9.1","%","185,597","16,931","12.80%","5.40%","580"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","13.6","%","1,181,638","160,609","15.20%","12.00%","4,221"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","9.7","%","505,598","49,095","12.00%","7.50%","1,657"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","18.8","%","449,589","84,419","21.90%","15.60%","1,478"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","13.4","%","2,322,422","311,054","14.60%","12.20%","7,936"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","11.3","%","14,627,823","1,656,029","11.60%","11.10%","59,000"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","14.2","%","5,732,054","815,983","14.70%","13.80%","24,484"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","16.8","%","68,818","11,578","24.50%","9.20%","231"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","26.0","%","251,007","65,300","30.50%","21.50%","908"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","18.3","%","156,584","28,666","23.70%","12.90%","492"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","25.4","%","68,946","17,490","34.40%","16.40%","224"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","22.6","%","545,353","123,033","25.60%","19.60%","1,854"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 3","National Qualifications Framework (NQF) level","15.0","%","6,281,847","939,839","15.40%","14.50%","26,352"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","20.7","%","5,669,607","1,172,373","21.20%","20.20%","24,963"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","27.7","%","79,776","22,134","36.10%","19.40%","277"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","29.4","%","246,424","72,505","34.10%","24.80%","923"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","23.8","%","161,290","38,316","29.60%","17.90%","505"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","32.0","%","62,304","19,928","41.60%","22.40%","227"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","27.8","%","549,792","152,882","31.00%","24.60%","1,931"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Level 2","National Qualifications Framework (NQF) level","21.3","%","6,222,897","1,325,877","21.80%","20.80%","26,906"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","25.0","%","3,723,129","931,519","25.70%","24.40%","16,090"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","35.2","%","44,231","15,582","47.30%","23.10%","150"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","33.1","%","206,676","68,461","38.30%","27.90%","786"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","30.4","%","104,185","31,694","38.00%","22.80%","351"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","44.1","%","49,507","21,827","55.30%","32.90%","188"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","34.0","%","404,599","137,564","37.80%","30.20%","1,475"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","25.9","%","4,129,773","1,069,388","26.50%","25.20%","17,571"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","18.4","%","1947926","358803","19.20%","17.60%","8555"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","31.1","%","339459","105630","35.10%","27.10%","1288"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","26.7","%","111999","29886","33.50%","19.90%","408"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","27.3","%","132609","36238","33.60%","21.00%","480"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","29.5","%","603773","178060","32.50%","26.50%","2250"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","21.1","%","2556575","539045","21.90%","20.30%","10827"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","49.5","%","2,539,586","1,258,288","50.40%","48.70%","12,280"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","56.7","%","32,922","18,680","70.80%","42.70%","120"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","58.1","%","327,013","190,040","62.30%","53.90%","1,335"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","50.9","%","95,850","48,819","59.20%","42.60%","348"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","52.4","%","104,112","54,540","60.40%","44.40%","376"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","55.7","%","559,897","312,079","59.00%","52.40%","2,179"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","No qualifications","National Qualifications Framework (NQF) level","50.7","%","3,101,099","1,570,735","51.50%","49.80%","14,465"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","38.1","%","85234","32438","43.20%","32.90%","342"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","Missing","National Qualifications Framework (NQF) level","41.2","%","105244","43341","45.90%","36.40%","413"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2016","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","18.5","%","31,991,901","5,912,961","18.70%","18.30%","137,739"
