"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","27 July 2017"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","680","17830","14730","705","592","1368","1296"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","69","1821","1593","405","346","1368","1296"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","227","5963","5426","9272","8507","1368","1296"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","4579","95596","83206","19752","16724","1089","982"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","336","7022","5351","2037","1627","1089","982"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","1641","34268","30780","4432","3969","1089","982"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","1181","24661","23297","2773","2686","1089","982"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","316","6600","4940","907","661","1089","982"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","164","3414","2680","975","775","1089","982"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","453","9466","8072","605","465","1089","982"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","214","4468","3674","7343","5992","1089","982"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","6981","9659907","9293979","1474894","1404315","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","54","74102","67307","24944","22490","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","46","63860","54991","21526","18657","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","3568","4936665","4745417","583386","557248","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","1993","2758007","2721917","309078","300900","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","66","91396","76264","15854","13144","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","39","53787","47592","5029","4399","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","51","70573","68695","823","792","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","211","291830","275990","63434","59364","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","131","180704","179286","11019","11021","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","49","68051","66081","4816","4316","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","530","734031","670950","26025","23130","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","55","76210","71910","15919","14683","72146","72371"
"Average distance in miles per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","188","260690","247580","393042","374171","72146","72371"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","6622","10460669","9932835","1648658","1549508","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","51","80764","71853","27133","23906","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","82","129978","112723","41169","35904","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","3318","5241243","4984682","623194","589925","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","1856","2932211","2859092","338717","326397","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","84","133327","109026","21941","17767","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","33","52401","45791","5223","4527","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","55","87453","82267","1034","976","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","205","323187","301018","69884","64464","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","113","179021","180434","11095","11121","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","43","67502","65187","5915","5302","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","542","856591","768031","33328","28923","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","54","85280","79153","17854","16247","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","185","291710","273577","452172","424049","82367","81636"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","4473","486273","418635","100588","87654","5668","5215"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","12","1332","1086","677","560","5668","5215"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","218","23683","20159","6940","6059","5668","5215"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","1805","196200","170713","27575","24155","5668","5215"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","1154","125444","113531","19348","17515","5668","5215"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","218","23659","18677","3175","2448","5668","5215"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","156","16981","13622","3647","2944","5668","5215"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","51","5553","5133","394","375","5668","5215"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","33","3567","3101","413","334","5668","5215"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","534","58090","45861","3165","2532","5668","5215"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","41","4468","3689","869","700","5668","5215"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","167","18153","15767","34162","29860","5668","5215"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","4447","223914","203664","52026","47779","2625","2560"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","647","32562","29761","9533","8712","2625","2560"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","1377","69342","63514","9030","8286","2625","2560"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","1044","52576","48223","6817","6435","2625","2560"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","226","11394","10014","1732","1496","2625","2560"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","207","10425","9226","2436","2167","2625","2560"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","32","1596","1479","432","411","2625","2560"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","564","28403","25306","1969","1737","2625","2560"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","60","3030","2423","565","456","2625","2560"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","181","9111","8548","19024","17618","2625","2560"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","4804","120137","105782","24311","21955","1304","1228"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","39","986","821","393","340","1304","1228"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","180","4510","4037","1586","1411","1304","1228"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","1322","33045","28717","4344","3882","1304","1228"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","1711","42787","39514","6046","5776","1304","1228"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","118","2962","2211","610","443","1304","1228"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","196","4897","4321","1286","1111","1304","1228"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","729","18236","14778","788","638","1304","1228"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","70","1762","1503","387","321","1304","1228"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","226","5639","5107","8529","7716","1304","1228"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","4527","98476","87417","19735","17173","1134","1034"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","315","6842","5597","1933","1593","1134","1034"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","1704","37054","33157","4947","4420","1134","1034"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","1272","27668","26334","3105","2951","1134","1034"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","222","4818","3938","709","560","1134","1034"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","141","3057","2465","829","679","1134","1034"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","407","8855","7627","578","444","1134","1034"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","189","4121","3587","6811","5873","1134","1034"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","6939","9525659","9112339","1450770","1373969","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","56","76734","68609","25289","22409","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","45","61979","52842","21040","18017","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","3572","4903412","4686661","577033","548969","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","1954","2682064","2630258","303280","293628","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","66","90291","74016","15665","12775","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","37","50589","44405","4961","4324","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","52","71311","69255","882","849","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","210","287766","271324","61665","57542","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","122","168079","170079","10267","10328","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","45","61641","59956","4909","4407","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","541","742374","673914","26790","23544","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","55","75027","70694","15790","14568","71580","71551"
"Average distance in miles per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","185","254391","240325","383199","362609","71580","71551"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","6613","10344717","9787491","1618637","1515206","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","53","82905","73076","27500","24066","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","81","126069","109554","39071","34210","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","3294","5151705","4889450","610541","576784","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","1867","2920778","2829005","332625","318335","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","85","133571","109234","21633","17592","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","33","52339","45874","5103","4428","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","52","81191","76768","1023","963","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","205","320645","296661","68790","62995","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","109","170196","168372","10831","10577","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","41","64901","62943","5919","5316","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","554","866551","778112","33156","28839","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","55","85312","79241","17744","16116","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","184","288554","269201","444703","414985","81557","80608"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","4460","487472","420688","100808","87082","5699","5217"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","14","1504","1214","698","566","5699","5217"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","209","22868","18936","6814","5771","5699","5217"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","1806","197408","172866","27292","23980","5699","5217"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","1186","129638","117817","18926","17071","5699","5217"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","221","24167","18975","3180","2458","5699","5217"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","149","16305","13052","3453","2800","5699","5217"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","45","4968","4488","365","350","5699","5217"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","24","2670","2265","490","395","5699","5217"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","524","57260","45302","3104","2512","5699","5217"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","41","4462","3862","855","711","5699","5217"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","172","18787","16030","35448","30332","5699","5217"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","4352","212814","194715","49609","45902","2550","2517"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","17","841","741","353","317","2550","2517"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","596","29169","27301","8067","7660","2550","2517"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","1406","68742","62582","9075","8288","2550","2517"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","980","47912","44004","6457","6110","2550","2517"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","204","9985","9179","1581","1434","2550","2517"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","219","10699","9364","2488","2154","2550","2517"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","43","2121","2094","405","394","2550","2517"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","556","27183","24332","1892","1687","2550","2517"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","61","2966","2601","544","454","2550","2517"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","187","9136","8508","18538","17197","2550","2517"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","4693","115335","102235","24302","21996","1282","1215"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","46","1134","974","433","385","1282","1215"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","180","4425","3811","1437","1244","1282","1215"
"Average distance in miles per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","1415","34788","30598","4429","3963","1282","1215"
