"Title","NHS trust board membership"
"Location","England"
"Time period","2017"
"Data source","NHS England"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-15"
"Measure","NHS_trust_board","NHS_trust_code","NHS_trust_type","Grouped_region","Ethnicity","Ethnicity_type","Headcount","Value","Value_type"
"Percentage of NHS trust board members","Warrington and Halton Hospitals NHS Foundation Trust","RWW","Acute","North","White","White & Other","14","93","%"
"Percentage of NHS trust board members","Warrington and Halton Hospitals NHS Foundation Trust","RWW","Acute","North","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Warrington and Halton Hospitals NHS Foundation Trust","RWW","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","West Hertfordshire Hospitals NHS Trust","RWG","Acute","Midlands & East","White","White & Other","17","94","%"
"Percentage of NHS trust board members","West Hertfordshire Hospitals NHS Trust","RWG","Acute","Midlands & East","Other","White & Other","1","6","%"
"Percentage of NHS trust board members","West Hertfordshire Hospitals NHS Trust","RWG","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","West London Mental Health NHS Trust","RKL","Mental Health","London","White","White & Other","13","87","%"
"Percentage of NHS trust board members","West London Mental Health NHS Trust","RKL","Mental Health","London","Other","White & Other","2","13","%"
"Percentage of NHS trust board members","West London Mental Health NHS Trust","RKL","Mental Health","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","West Midlands Ambulance Service NHS Foundation Trust","RYA","Ambulance","Midlands & East","White","White & Other","11","85","%"
"Percentage of NHS trust board members","West Midlands Ambulance Service NHS Foundation Trust","RYA","Ambulance","Midlands & East","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","West Midlands Ambulance Service NHS Foundation Trust","RYA","Ambulance","Midlands & East","Unknown","White & Other","1","8","%"
"Percentage of NHS trust board members","West Suffolk NHS Foundation Trust","RGR","Acute","Midlands & East","White","White & Other","12","100","%"
"Percentage of NHS trust board members","West Suffolk NHS Foundation Trust","RGR","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","West Suffolk NHS Foundation Trust","RGR","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Western Sussex Hospitals NHS Foundation Trust","RYR","Acute","South","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Western Sussex Hospitals NHS Foundation Trust","RYR","Acute","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Western Sussex Hospitals NHS Foundation Trust","RYR","Acute","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Weston Area Health NHS Trust","RA3","Acute","South","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Weston Area Health NHS Trust","RA3","Acute","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Weston Area Health NHS Trust","RA3","Acute","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Wirral Community NHS Foundation Trust","RY7","Community Provider Trust","North","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Wirral Community NHS Foundation Trust","RY7","Community Provider Trust","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Wirral Community NHS Foundation Trust","RY7","Community Provider Trust","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Acute","North","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Worcestershire Acute Hospitals NHS Trust","RWP","Acute","Midlands & East","White","White & Other","14","100","%"
"Percentage of NHS trust board members","Worcestershire Acute Hospitals NHS Trust","RWP","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Worcestershire Acute Hospitals NHS Trust","RWP","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Worcestershire Health and Care NHS Trust","R1A","Community Provider Trust","Midlands & East","White","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Worcestershire Health and Care NHS Trust","R1A","Community Provider Trust","Midlands & East","Other","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Worcestershire Health and Care NHS Trust","R1A","Community Provider Trust","Midlands & East","Unknown","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","Acute","North","White","White & Other","14","93","%"
"Percentage of NHS trust board members","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","Acute","North","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Wye Valley NHS Trust","RLQ","Acute","Midlands & East","White","White & Other","11","100","%"
"Percentage of NHS trust board members","Wye Valley NHS Trust","RLQ","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Wye Valley NHS Trust","RLQ","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Yeovil District Hospital NHS Foundation Trust","RA4","Acute","South","White","White & Other","13","93","%"
"Percentage of NHS trust board members","Yeovil District Hospital NHS Foundation Trust","RA4","Acute","South","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Yeovil District Hospital NHS Foundation Trust","RA4","Acute","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","York Teaching Hospital NHS Foundation Trust","RCB","Acute","North","White","White & Other","16","100","%"
"Percentage of NHS trust board members","York Teaching Hospital NHS Foundation Trust","RCB","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","York Teaching Hospital NHS Foundation Trust","RCB","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Yorkshire Ambulance Service NHS Trust","RX8","Ambulance","North","White","White & Other","15","94","%"
"Percentage of NHS trust board members","Yorkshire Ambulance Service NHS Trust","RX8","Ambulance","North","Other","White & Other","1","6","%"
"Percentage of NHS trust board members","Yorkshire Ambulance Service NHS Trust","RX8","Ambulance","North","Unknown","White & Other","0","0","%"
