"Title","Employment by sector"
"Time period","2004 to 2016"
"Location","United Kingdom"
"Source","Annual Population Survey"
"Department","Department for Business, Energy & Industrial Strategy"
"Last update","n/a"
"
"
Measure,Time,Time_type,Ethnicity,Ethnicity_type,Industry,Value,Value, Denominator , Numerator ,Conf,Note
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.0,," 28,156,000 "," 271,600 ",0.0,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Indian,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.7,," 697,600 "," 26,100 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Indian,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",22.7,," 697,600 "," 158,600 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Indian,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),85.8,," 697,600 "," 598,400 ",2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Indian,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",13.8,," 697,600 "," 96,400 ",2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Indian,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",17,," 697,600 "," 118,500 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Indian,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",29,," 697,600 "," 202,100 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Indian,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),3.3,," 697,600 "," 22,800 ",1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Mixed,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 216,800 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2010,Year,Mixed,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.2,," 216,800 "," 2,600 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Mixed,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),6.7,," 216,800 "," 14,600 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Mixed,ONS defined grouping (NOMIS),F:construction (SIC 2007),5.4,," 216,800 "," 11,700 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Mixed,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",17.8,," 216,800 "," 38,600 ",4,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Mixed,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),86.5,," 216,800 "," 187,500 ",3.6,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Mixed,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",6.9,," 216,800 "," 14,900 ",2.7,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Mixed,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",20,," 216,800 "," 43,400 ",4.2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Mixed,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",33.9,," 216,800 "," 73,600 ",5,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Mixed,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),7.9,," 216,800 "," 17,100 ",2.8,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Other,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.2,," 766,900 "," 1,600 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Other,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.9,," 766,900 "," 6,600 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Other,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),6.3,," 766,900 "," 48,300 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Other,ONS defined grouping (NOMIS),F:construction (SIC 2007),3,," 766,900 "," 23,200 ",0.9,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Other,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",27.8,," 766,900 "," 213,200 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Other,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),89.6,," 766,900 "," 687,200 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Other,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.4,," 766,900 "," 64,200 ",1.5,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Other,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.9,," 766,900 "," 129,800 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Other,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",31.1,," 766,900 "," 238,900 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Other,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.3,," 766,900 "," 41,000 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 431,800 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2010,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.3,," 431,800 "," 1,200 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2010,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),5.8,," 431,800 "," 24,900 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),F:construction (SIC 2007),2.4,," 431,800 "," 10,500 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",36.2,," 431,800 "," 156,500 ",3.5,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),91.5,," 431,800 "," 395,100 ",2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",17,," 431,800 "," 73,500 ",2.7,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.1,," 431,800 "," 60,800 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",21.3,," 431,800 "," 91,900 ",3,
"Proportion of ethnic group who are employed, split by industry",2010,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),2.9,," 431,800 "," 12,500 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,White,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.3,," 26,055,100 "," 350,600 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,White,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.7,," 26,055,100 "," 444,900 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2010,Year,White,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),10.4,," 26,055,100 "," 2,703,000 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2010,Year,White,ONS defined grouping (NOMIS),F:construction (SIC 2007),8,," 26,055,100 "," 2,097,000 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,White,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18,," 26,055,100 "," 4,686,000 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2010,Year,White,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),78.5,," 26,055,100 "," 20,459,500 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2010,Year,White,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.2,," 26,055,100 "," 2,140,600 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2010,Year,White,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16,," 26,055,100 "," 4,156,300 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2010,Year,White,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.7,," 26,055,100 "," 8,005,200 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2010,Year,White,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.6,," 26,055,100 "," 1,471,300 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.2,," 28,990,100 "," 348,500 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2011,Year,All,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.8,," 28,990,100 "," 517,400 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2011,Year,All,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.9,," 28,990,100 "," 2,860,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,All,ONS defined grouping (NOMIS),F:construction (SIC 2007),7.5,," 28,990,100 "," 2,163,900 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2011,Year,All,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.8,," 28,990,100 "," 5,452,700 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,All,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),79.7,," 28,990,100 "," 23,100,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,All,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.6,," 28,990,100 "," 2,505,300 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2011,Year,All,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.1,," 28,990,100 "," 4,679,500 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,All,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.4,," 28,990,100 "," 8,820,900 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,All,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.7,," 28,990,100 "," 1,641,700 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Black or Black British,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.1,," 662,400 ", 700 ,*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2011,Year,Black or Black British,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.9,," 662,400 "," 6,000 ",0.6,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Black or Black British,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),4.8,," 662,400 "," 31,600 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Black or Black British,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.2,," 662,400 "," 21,200 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Black or Black British,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",14.7,," 662,400 "," 97,600 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Black or Black British,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),91,," 662,400 "," 603,000 ",1.8,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Black or Black British,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.2,," 662,400 "," 54,200 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Black or Black British,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",17.3,," 662,400 "," 114,600 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Black or Black British,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",45.3,," 662,400 "," 299,800 ",3.1,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Black or Black British,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.6,," 662,400 "," 36,800 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Indian,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.1,," 746,000 ", ~ ,*,"* Estimate and confidence interval unreliable since the group sample size is small (3-9).
~ Estimate is less than 500."
"Proportion of ethnic group who are employed, split by industry",2011,Year,Indian,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.8,," 746,000 "," 6,100 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Indian,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),8.9,," 746,000 "," 66,500 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Indian,ONS defined grouping (NOMIS),F:construction (SIC 2007),5,," 746,000 "," 37,400 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Indian,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",22.4,," 746,000 "," 167,300 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Indian,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),85.2,," 746,000 "," 635,600 ",2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Indian,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",14.7,," 746,000 "," 109,800 ",2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Indian,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",18.3,," 746,000 "," 136,800 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Indian,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",26.6,," 746,000 "," 198,300 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Indian,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),3.1,," 746,000 "," 23,400 ",1,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Mixed,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 237,200 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2011,Year,Mixed,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.8,," 237,200 "," 4,200 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Mixed,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),5.2,," 237,200 "," 12,400 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Mixed,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.9,," 237,200 "," 9,400 ",2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Mixed,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.1,," 237,200 "," 42,800 ",3.9,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Mixed,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),89,," 237,200 "," 211,100 ",3.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Mixed,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8,," 237,200 "," 19,000 ",2.7,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Mixed,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",19.5,," 237,200 "," 46,300 ",4,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Mixed,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",34.8,," 237,200 "," 82,600 ",4.8,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Mixed,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),8.6,," 237,200 "," 20,400 ",2.8,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Other,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.2,," 805,200 "," 1,900 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2011,Year,Other,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.1,," 805,200 "," 9,200 ",0.6,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Other,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),6,," 805,200 "," 48,100 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Other,ONS defined grouping (NOMIS),F:construction (SIC 2007),4.1,," 805,200 "," 32,700 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Other,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",27.6,," 805,200 "," 222,300 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Other,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),88.6,," 805,200 "," 713,300 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Other,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.8,," 805,200 "," 71,200 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Other,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.8,," 805,200 "," 135,100 ",2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Other,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",29.4,," 805,200 "," 236,900 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Other,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.9,," 805,200 "," 47,800 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 472,200 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2011,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.5,," 472,200 "," 2,400 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2011,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),5.3,," 472,200 "," 24,900 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),F:construction (SIC 2007),2.3,," 472,200 "," 10,900 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",34.1,," 472,200 "," 161,100 ",3.3,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),91.9,," 472,200 "," 433,800 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",16.8,," 472,200 "," 79,400 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.2,," 472,200 "," 66,900 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",22.3,," 472,200 "," 105,500 ",2.9,
"Proportion of ethnic group who are employed, split by industry",2011,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),4.4,," 472,200 "," 21,000 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2011,Year,White,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.3,," 26,050,000 "," 345,300 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2011,Year,White,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.9,," 26,050,000 "," 489,600 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2011,Year,White,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),10.3,," 26,050,000 "," 2,675,800 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2011,Year,White,ONS defined grouping (NOMIS),F:construction (SIC 2007),7.9,," 26,050,000 "," 2,051,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,White,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.3,," 26,050,000 "," 4,758,500 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2011,Year,White,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),78.6,," 26,050,000 "," 20,488,300 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2011,Year,White,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.3,," 26,050,000 "," 2,169,800 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2011,Year,White,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16,," 26,050,000 "," 4,177,000 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2011,Year,White,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.3,," 26,050,000 "," 7,892,100 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2011,Year,White,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.7,," 26,050,000 "," 1,490,800 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.2,," 29,180,700 "," 339,800 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2012,Year,All,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.8,," 29,180,700 "," 514,800 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2012,Year,All,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.9,," 29,180,700 "," 2,892,900 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,All,ONS defined grouping (NOMIS),F:construction (SIC 2007),7.2,," 29,180,700 "," 2,090,900 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2012,Year,All,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.7,," 29,180,700 "," 5,455,300 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,All,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),80.0,," 29,180,700 "," 23,342,400 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,All,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",8.9,," 29,180,700 "," 2,607,200 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2012,Year,All,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.4,," 29,180,700 "," 4,781,500 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,All,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",30.4,," 29,180,700 "," 8,883,000 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,All,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.5,," 29,180,700 "," 1,615,500 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Black or Black British,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 684,500 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2012,Year,Black or Black British,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.9,," 684,500 "," 6,000 ",0.6,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Black or Black British,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),4.7,," 684,500 "," 31,900 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Black or Black British,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.3,," 684,500 "," 22,900 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Black or Black British,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",15.4,," 684,500 "," 105,100 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Black or Black British,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),91.1,," 684,500 "," 623,700 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Black or Black British,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.7,," 684,500 "," 66,700 ",1.8,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Black or Black British,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",18.4,," 684,500 "," 125,700 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Black or Black British,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",42.5,," 684,500 "," 291,200 ",3,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Black or Black British,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.1,," 684,500 "," 35,100 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Indian,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.2,," 746,400 "," 1,700 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2012,Year,Indian,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.7,," 746,400 "," 5,300 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Indian,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),8.3,," 746,400 "," 62,000 ",1.5,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Indian,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.9,," 746,400 "," 29,500 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Indian,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",22,," 746,400 "," 164,300 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Indian,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),86.8,," 746,400 "," 647,800 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Indian,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",14.8,," 746,400 "," 110,200 ",2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Indian,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",18.9,," 746,400 "," 141,300 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Indian,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28,," 746,400 "," 208,700 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Indian,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),3.1,," 746,400 "," 23,300 ",1,
"Proportion of ethnic group who are employed, split by industry",2012,Year,Mixed,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 244,300 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
