"Measure","Year","Sex","Age Group","Ethnicity","Remand Status","Police Force Area","Count","Denominator","Value"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","Metropolitan Police","968","7267","13.3"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","Norfolk","498","900","55.3"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","Norfolk","274","900","30.4"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","Norfolk","128","900","14.2"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","North Wales","427","765","55.8"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","North Wales","217","765","28.4"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","North Wales","121","765","15.8"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","North Yorkshire","593","1036","57.2"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","North Yorkshire","278","1036","26.8"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","North Yorkshire","165","1036","15.9"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","Northamptonshire","364","740","49.2"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","Northamptonshire","282","740","38.1"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","Northamptonshire","94","740","12.7"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","Northumbria","1083","2234","48.5"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","Northumbria","771","2234","34.5"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","Northumbria","380","2234","17.0"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","Nottinghamshire","841","1598","52.6"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","Nottinghamshire","597","1598","37.4"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","Nottinghamshire","160","1598","10.0"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","South Wales","1229","2857","43.0"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","South Wales","1119","2857","39.2"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","South Wales","509","2857","17.8"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","South Yorkshire","789","1833","43.0"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","South Yorkshire","805","1833","43.9"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","South Yorkshire","239","1833","13.0"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","Staffordshire","828","1389","59.6"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","Staffordshire","442","1389","31.8"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","Staffordshire","119","1389","8.6"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","Suffolk","358","687","52.1"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","Suffolk","223","687","32.5"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","Suffolk","106","687","15.4"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","Surrey","390","695","56.1"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","Surrey","227","695","32.7"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","Surrey","78","695","11.2"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","Sussex","877","1426","61.5"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","Sussex","407","1426","28.5"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","Sussex","142","1426","10.0"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","Thames Valley","1097","2032","54.0"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","Thames Valley","651","2032","32.0"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","Thames Valley","284","2032","14.0"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","Warwickshire","288","517","55.7"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","Warwickshire","151","517","29.2"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","Warwickshire","78","517","15.1"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","West Mercia","771","1351","57.1"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","West Mercia","422","1351","31.2"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","West Mercia","158","1351","11.7"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","West Midlands","1391","2920","47.6"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","West Midlands","1107","2920","37.9"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","West Midlands","422","2920","14.5"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","West Yorkshire","1344","3343","40.2"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","West Yorkshire","1226","3343","36.7"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","West Yorkshire","773","3343","23.1"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","Wiltshire","280","537","52.1"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","Wiltshire","208","537","38.7"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","Wiltshire","49","537","9.1"
"percentage of people on remand by status and police force area","2015","All","All","White","Bail","special/miscellaneous and unknown police forces","4","10","40.0"
"percentage of people on remand by status and police force area","2015","All","All","White","Custody","special/miscellaneous and unknown police forces","2","10","20.0"
"percentage of people on remand by status and police force area","2015","All","All","White","Not remanded","special/miscellaneous and unknown police forces","4","10","40.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Avon and Somerset","22","36","61.1"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Avon and Somerset","9","36","25.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Avon and Somerset","5","36","13.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Bedfordshire","66","110","60.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Bedfordshire","31","110","28.2"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Bedfordshire","13","110","11.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Cambridgeshire","25","72","34.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Cambridgeshire","38","72","52.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Cambridgeshire","9","72","12.5"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Cheshire","10","22","45.5"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Cheshire","10","22","45.5"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Cheshire","2","22","9.1"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","City of London","2","39","5.1"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Cleveland","21","39","53.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Cleveland","16","39","41.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Cleveland","4","15","26.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Cumbria","4","15","26.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Cumbria","7","15","46.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Derbyshire","65","112","58.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Derbyshire","32","112","28.6"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Derbyshire","15","112","13.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Devon and Cornwall","3","14","21.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Devon and Cornwall","5","14","35.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Dorset","6","14","42.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Dorset","5","17","29.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Durham","5","17","29.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Durham","7","17","41.2"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Dyfed-Powys","3","19","15.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Dyfed-Powys","3","19","15.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Essex","13","19","68.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Essex","7","12","58.3"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Essex","2","12","16.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Gloucestershire","3","12","25.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Gloucestershire","5","237","2.1"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Gloucestershire","2","237","0.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Greater Manchester","230","237","97.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Greater Manchester","251","318","78.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Greater Manchester","58","318","18.2"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Gwent","9","318","2.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Gwent","5","39","12.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Gwent","7","39","17.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Hampshire","27","39","69.2"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Hampshire","12","81","14.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Hampshire","6","81","7.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Hertfordshire","63","81","77.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Hertfordshire","26","42","61.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Hertfordshire","7","42","16.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Humberside","9","42","21.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Humberside","8","46","17.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Humberside","3","46","6.5"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Kent","35","46","76.1"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Kent","39","225","17.3"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Kent","4","225","1.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Lancashire","182","225","80.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Lancashire","85","170","50.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Lancashire","26","170","15.3"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Leicestershire","59","170","34.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Leicestershire","54","81","66.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Leicestershire","23","81","28.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Lincolnshire","4","81","4.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Lincolnshire","4","32","12.5"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Merseyside","13","32","40.6"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Merseyside","15","32","46.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Merseyside","5","1589","0.3"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Metropolitan Police","922","1589","58.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Metropolitan Police","662","1589","41.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Metropolitan Police","219","223","98.2"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Norfolk","2","223","0.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","North Wales","2","223","0.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","North Wales","4","16","25.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","North Yorkshire","10","16","62.5"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","North Yorkshire","2","16","12.5"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","North Yorkshire","3","34","8.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Northamptonshire","18","34","52.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Northamptonshire","13","34","38.2"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Northamptonshire","2","70","2.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Northumbria","49","70","70.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Northumbria","19","70","27.1"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Northumbria","10","132","7.6"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Nottinghamshire","66","132","50.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Nottinghamshire","56","132","42.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Nottinghamshire","10","75","13.3"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","South Wales","34","75","45.3"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","South Wales","31","75","41.3"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","South Wales","5","79","6.3"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","South Yorkshire","37","79","46.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","South Yorkshire","37","79","46.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","South Yorkshire","10","113","8.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Staffordshire","72","113","63.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Staffordshire","31","113","27.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Staffordshire","7","15","46.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Suffolk","5","15","33.3"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Suffolk","3","15","20.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Surrey","34","46","73.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Surrey","9","46","19.6"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Surrey","3","46","6.5"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Sussex","36","56","64.3"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Sussex","19","56","33.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Sussex","1","56","1.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Thames Valley","119","236","50.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Thames Valley","100","236","42.4"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Thames Valley","17","236","7.2"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Warwickshire","27","43","62.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Warwickshire","9","43","20.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Warwickshire","7","43","16.3"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","West Mercia","32","63","50.8"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","West Mercia","24","63","38.1"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","West Mercia","7","63","11.1"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","West Midlands","468","888","52.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","West Midlands","308","888","34.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","West Midlands","112","888","12.6"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","West Yorkshire","417","771","54.1"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","West Yorkshire","246","771","31.9"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","West Yorkshire","108","771","14.0"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Bail","Wiltshire","8","15","53.3"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Custody","Wiltshire","4","15","26.7"
"percentage of people on remand by status and police force area","2016","All","All","Asian","Not remanded","Wiltshire","3","15","20.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Avon and Somerset","66","210","31.4"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Avon and Somerset","109","210","51.9"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Avon and Somerset","35","210","16.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Bedfordshire","54","95","56.8"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Bedfordshire","33","95","34.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Bedfordshire","8","95","8.4"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Cambridgeshire","26","65","40.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Cambridgeshire","29","65","44.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Cambridgeshire","10","65","15.4"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Cheshire","13","30","43.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Cheshire","14","30","46.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Cheshire","3","30","10.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","City of London","2","12","16.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","City of London","2","12","16.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Cleveland","8","12","66.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Cleveland","6","12","50.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Cleveland","2","12","16.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Cumbria","4","12","33.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Cumbria","2","53","3.8"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Derbyshire","25","53","47.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Derbyshire","26","53","49.1"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Derbyshire","6","37","16.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Devon and Cornwall","15","37","40.5"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Devon and Cornwall","16","37","43.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Devon and Cornwall","6","32","18.8"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Dorset","12","32","37.5"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Dorset","14","32","43.8"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Dorset","9","13","69.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Durham","3","13","23.1"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Durham","1","13","7.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Dyfed-Powys","2","85","2.4"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Essex","48","85","56.5"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Essex","35","85","41.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Essex","11","55","20.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Gloucestershire","18","55","32.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Gloucestershire","26","55","47.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Gloucestershire","4","327","1.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Greater Manchester","150","327","45.9"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Greater Manchester","173","327","52.9"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Greater Manchester","28","41","68.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Gwent","8","41","19.5"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Gwent","5","41","12.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Gwent","4","138","2.9"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Hampshire","74","138","53.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Hampshire","60","138","43.5"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Hampshire","13","146","8.9"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Hertfordshire","86","146","58.9"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Hertfordshire","47","146","32.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Hertfordshire","15","34","44.1"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Humberside","4","34","11.8"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Humberside","15","34","44.1"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Humberside","3","177","1.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Kent","85","177","48.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Kent","89","177","50.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Kent","31","67","46.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Lancashire","22","67","32.8"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Lancashire","14","67","20.9"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Lancashire","6","130","4.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Leicestershire","74","130","56.9"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Leicestershire","50","130","38.5"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Leicestershire","14","32","43.8"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Lincolnshire","5","32","15.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Lincolnshire","13","32","40.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Lincolnshire","3","83","3.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Merseyside","49","83","59.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Merseyside","31","83","37.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Merseyside","6","4231","0.1"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Metropolitan Police","2136","4231","50.5"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Metropolitan Police","2089","4231","49.4"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Metropolitan Police","668","690","96.8"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Norfolk","11","690","1.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Norfolk","11","690","1.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Norfolk","2","12","16.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","North Wales","8","12","66.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","North Wales","2","12","16.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","North Wales","1","7","14.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","North Yorkshire","4","7","57.1"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","North Yorkshire","2","7","28.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","North Yorkshire","3","57","5.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Northamptonshire","27","57","47.4"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Northamptonshire","27","57","47.4"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Northamptonshire","11","54","20.4"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Northumbria","23","54","42.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Northumbria","20","54","37.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Northumbria","2","163","1.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Nottinghamshire","76","163","46.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Nottinghamshire","85","163","52.1"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Nottinghamshire","12","103","11.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","South Wales","35","103","34.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","South Wales","56","103","54.4"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","South Wales","4","67","6.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","South Yorkshire","37","67","55.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","South Yorkshire","26","67","38.8"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","South Yorkshire","7","61","11.5"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Staffordshire","30","61","49.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Staffordshire","24","61","39.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Staffordshire","6","40","15.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Suffolk","12","40","30.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Suffolk","22","40","55.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Suffolk","8","80","10.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Surrey","45","80","56.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Surrey","27","80","33.8"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Surrey","13","135","9.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Sussex","66","135","48.9"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Sussex","56","135","41.5"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Sussex","7","266","2.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Thames Valley","130","266","48.9"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Thames Valley","129","266","48.5"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Thames Valley","26","58","44.8"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Warwickshire","23","58","39.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Warwickshire","9","58","15.5"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","Warwickshire","9","74","12.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","West Mercia","32","74","43.2"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","West Mercia","33","74","44.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","West Mercia","4","691","0.6"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","West Midlands","352","691","50.9"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","West Midlands","335","691","48.5"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","West Midlands","118","300","39.3"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","West Yorkshire","92","300","30.7"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","West Yorkshire","90","300","30.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Not remanded","West Yorkshire","31","74","41.9"
"percentage of people on remand by status and police force area","2016","All","All","Black","Bail","Wiltshire","20","74","27.0"
"percentage of people on remand by status and police force area","2016","All","All","Black","Custody","Wiltshire","23","74","31.1"
