"Title","Phonics attainments for children aged 5 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measurement","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Value","Denominator","Boys-value","Denominator","Girls-value","Denominator"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Camden","E09000007","Mixed","DFE","All","83","201","80","54","87","712"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Lewisham","E09000023","Mixed","DFE","All","83","586","80","51","87","152"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Wandsworth","E09000032","Mixed","DFE","All","83","358","80","40","87","93"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Barnet","E09000003","Mixed","DFE","All","83","449","80","126","87","90"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Brent","E09000005","Mixed","DFE","All","83","336","80","286","87","168"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Windsor and Maidenhead","E06000040","Mixed","DFE","All","83","137","80","195","87","90"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Swindon","E06000030","Mixed","DFE","All","83","180","80","227","87","193"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cheshire East","E06000049","Mixed","DFE","All","84","152","80","161","87","157"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Herefordshire, County of","E06000019","Mixed","DFE","All","84","69","80","465","87","52"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Solihull","E08000029","Mixed","DFE","All","84","222","80","94","88","32"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Hertfordshire","E10000015","Mixed","DFE","All","84","1158","80","76","88","83"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Southwark","E09000028","Mixed","DFE","All","84","395","80","85","88","59"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Bexley","E09000004","Mixed","DFE","All","84","271","81","86","88","75"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Ealing","E09000009","Mixed","DFE","All","84","432","81","64","88","74"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Waltham Forest","E09000031","Mixed","DFE","All","84","452","81","47","88","156"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Wokingham","E06000041","Mixed","DFE","All","84","162","81","226","88","165"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Bolton","E08000001","Mixed","DFE","All","85","161","82","61","88","258"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Salford","E08000006","Mixed","DFE","All","85","263","82","286","88","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Wakefield","E08000036","Mixed","DFE","All","85","138","82","423","88","72"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Shropshire","E06000051","Mixed","DFE","All","85","73","82","202","89","75"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Staffordshire","E10000028","Mixed","DFE","All","85","313","82","171","89","66"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Worcestershire","E10000034","Mixed","DFE","All","85","200","82","85","89","80"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Thurrock","E06000034","Mixed","DFE","All","85","148","82","22","89","561"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hackney","E09000012","Mixed","DFE","All","85","316","83","65","89","105"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Kensington and Chelsea","E09000020","Mixed","DFE","All","85","190","83","72","89","170"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Lambeth","E09000022","Mixed","DFE","All","85","469","83","157","89","243"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Kingston upon Thames","E09000021","Mixed","DFE","All","85","222","83","107","89","116"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Milton Keynes","E06000042","Mixed","DFE","All","85","328","83","160","89","36"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Southampton","E06000045","Mixed","DFE","All","85","189","83","117","89","95"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Newcastle upon Tyne","E08000021","Mixed","DFE","All","86","147","83","81","89","410"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Bury","E08000002","Mixed","DFE","All","86","97","83","121","89","57"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Rochdale","E08000005","Mixed","DFE","All","86","138","83","108","89","95"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","East Riding of Yorkshire","E06000011","Mixed","DFE","All","86","90","83","286","90","83"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","York","E06000014","Mixed","DFE","All","86","73","83","66","90","115"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Central Bedfordshire","E06000056","Mixed","DFE","All","86","197","84","144","90","124"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hammersmith and Fulham","E09000013","Mixed","DFE","All","86","222","84","38","90","212"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Bromley","E09000006","Mixed","DFE","All","86","518","84","161","90","96"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Havering","E09000016","Mixed","DFE","All","86","237","84","105","90","93"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hillingdon","E09000017","Mixed","DFE","All","86","525","84","100","90","93"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hounslow","E09000018","Mixed","DFE","All","86","287","84","211","91","44"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Bracknell Forest","E06000036","Mixed","DFE","All","86","81","84","187","91","89"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Kent","E10000016","Mixed","DFE","All","86","947","84","124","91","127"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Surrey","E10000030","Mixed","DFE","All","86","839","84","267","91","140"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Gateshead","E08000037","Mixed","DFE","All","87","55","84","45","91","141"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Northumberland","E06000057","Mixed","DFE","All","87","61","84","429","91","301"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","North East Lincolnshire","E06000012","Mixed","DFE","All","87","61","84","38","91","482"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Telford and Wrekin","E06000020","Mixed","DFE","All","87","98","85","47","91","56"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Hampshire","E10000014","Mixed","DFE","All","87","587","85","176","92","132"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Portsmouth","E06000044","Mixed","DFE","All","87","122","87","30","92","39"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bournemouth","E06000028","Mixed","DFE","All","87","140","87","195","92","51"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Sunderland","E08000024","Mixed","DFE","All","88","56","87","261","92","212"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Haringey","E09000014","Mixed","DFE","All","88","365","87","159","93","175"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Westminster","E09000033","Mixed","DFE","All","88","181","87","107","93","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Harrow","E09000015","Mixed","DFE","All","88","265","87","68","94","70"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Medway","E06000035","Mixed","DFE","All","88","203","88","24","100","13"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Torbay","E06000027","Mixed","DFE","All","88","40","88","33","100","5"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Redcar and Cleveland","E06000003","Mixed","DFE","All","89","28","88","98","!","30"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Warrington","E06000007","Mixed","DFE","All","89","91","89","27","!","4"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Newham","E09000025","Mixed","DFE","All","89","351","90","41","!","32"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Greenwich","E09000011","Mixed","DFE","All","89","399","90","41","!","17"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Richmond upon Thames","E09000027","Mixed","DFE","All","90","260","91","136","!","17"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","South Tyneside","E08000023","Mixed","DFE","All","91","34","93","44","!","46"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Blackpool","E06000009","Mixed","DFE","All","91","66","!","10","!","33"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Wigan","E08000010","Mixed","DFE","All","91","85","!","7","!","20"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","North Tyneside","E08000022","Mixed","DFE","All","92","59","!","11","!","45"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Blackburn with Darwen","E06000008","Mixed","DFE","All","94","87","!","17","!","15"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Darlington","E06000005","Mixed","DFE","All","!","23","!","24","!","33"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Rutland","E06000017","Mixed","DFE","All","!","12","!","7","!","!"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","City of London","E09000001","Mixed","DFE","All","!","!","!","!","!","!"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Isles of Scilly","E06000053","Mixed","DFE","All","!","!","!","!","!","18"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Leicester","E06000016","White","DFE","All","71","1830","67","926","75","904"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Middlesbrough","E06000002","White","DFE","All","74","1521","68","1094","78","1042"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Nottingham","E06000018","White","DFE","All","74","2103","71","805","78","525"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Bedford","E06000055","White","DFE","All","75","1544","71","1929","78","396"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Peterborough","E06000031","White","DFE","All","75","2161","71","801","79","716"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Redbridge","E09000026","White","DFE","All","75","1056","71","1146","79","766"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Slough","E06000039","White","DFE","All","75","799","71","522","80","1966"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Halton","E06000006","White","DFE","All","76","1526","71","1182","80","1668"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Liverpool","E08000012","White","DFE","All","76","4087","72","2121","80","1009"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Wakefield","E08000036","White","DFE","All","76","3782","72","984","80","743"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Enfield","E09000010","White","DFE","All","76","2255","72","1505","80","1015"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Isle of Wight","E06000046","White","DFE","All","76","1271","72","531","80","929"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Swindon","E06000030","White","DFE","All","76","2297","72","677","80","1115"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Blackburn with Darwen","E06000008","White","DFE","All","77","1055","72","403","81","2415"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cumbria","E10000006","White","DFE","All","77","4895","73","565","81","2092"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Tameside","E08000008","White","DFE","All","77","2526","73","760","81","4174"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Doncaster","E08000017","White","DFE","All","77","3398","73","1630","81","1331"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","White","DFE","All","77","2995","73","1020","81","520"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Leeds","E08000035","White","DFE","All","77","7167","73","1277","81","270"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Nottinghamshire","E10000024","White","DFE","All","77","8518","73","2123","81","808"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Coventry","E08000026","White","DFE","All","77","2736","73","3660","81","671"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Wolverhampton","E08000031","White","DFE","All","77","1789","73","4344","81","594"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Luton","E06000032","White","DFE","All","77","1086","73","1405","81","3867"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Tower Hamlets","E09000030","White","DFE","All","77","595","73","1248","81","1770"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Barking and Dagenham","E09000002","White","DFE","All","77","1436","73","741","81","2812"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Reading","E06000038","White","DFE","All","77","1054","74","2480","82","490"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","West Sussex","E10000032","White","DFE","All","77","8134","74","1298","82","817"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Knowsley","E08000011","White","DFE","All","78","1705","74","1730","82","1324"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Manchester","E08000003","White","DFE","All","78","3140","74","1479","82","1249"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Oldham","E08000004","White","DFE","All","78","1990","74","1178","82","2002"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Sefton","E08000014","White","DFE","All","78","2825","74","2939","82","1490"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Bradford","E08000032","White","DFE","All","78","4125","74","1505","82","1680"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Kirklees","E08000034","White","DFE","All","78","3492","74","941","82","3507"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","North Yorkshire","E10000023","White","DFE","All","78","5827","74","3218","82","922"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Sheffield","E08000019","White","DFE","All","78","4414","74","566","82","2799"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Derby","E06000015","White","DFE","All","78","2227","74","4344","82","1853"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Birmingham","E08000025","White","DFE","All","78","5797","74","325","82","2858"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Sandwell","E08000028","White","DFE","All","78","2296","74","1219","82","848"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Cambridgeshire","E10000003","White","DFE","All","78","6291","74","4267","82","3073"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Norfolk","E10000020","White","DFE","All","78","8486","74","2578","82","4142"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Croydon","E09000008","White","DFE","All","78","1920","75","777","82","695"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Merton","E09000024","White","DFE","All","78","1346","75","1330","82","491"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Milton Keynes","E06000042","White","DFE","All","78","2413","75","1875","82","1144"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Wiltshire","E06000054","White","DFE","All","78","5065","75","888","82","1194"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Bolton","E08000001","White","DFE","All","79","2608","75","1501","82","532"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Salford","E08000006","White","DFE","All","79","2470","75","1455","82","835"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","St. Helens","E08000013","White","DFE","All","79","2002","75","1812","82","2487"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Barnsley","E08000016","White","DFE","All","79","2772","75","3028","83","1510"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","North East Lincolnshire","E06000012","White","DFE","All","79","1860","75","2322","83","1006"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Rotherham","E08000018","White","DFE","All","79","2947","75","4108","83","1468"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Derbyshire","E10000007","White","DFE","All","79","8061","75","1272","83","1049"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Dudley","E08000027","White","DFE","All","79","2997","75","991","83","1492"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Suffolk","E10000029","White","DFE","All","79","7099","75","1213","83","1048"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Harrow","E09000015","White","DFE","All","79","979","75","675","83","916"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hillingdon","E09000017","White","DFE","All","79","1657","75","1020","83","3431"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bath and North East Somerset","E06000022","White","DFE","All","79","1708","75","2032","83","846"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Somerset","E10000027","White","DFE","All","79","5644","76","1042","83","3035"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Gateshead","E08000037","White","DFE","All","80","1981","76","1765","84","939"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Blackpool","E06000009","White","DFE","All","80","1544","76","3340","84","1115"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cheshire West and Chester","E06000050","White","DFE","All","80","3669","76","937","84","1278"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Wirral","E08000015","White","DFE","All","80","3504","76","923","84","1794"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Leicestershire","E10000018","White","DFE","All","80","6604","76","3668","84","1172"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Stoke-on-Trent","E06000021","White","DFE","All","80","2431","76","488","84","982"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Central Bedfordshire","E06000056","White","DFE","All","80","3113","76","2539","84","1739"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Southend-on-Sea","E06000033","White","DFE","All","80","1839","76","1504","84","1317"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Camden","E09000007","White","DFE","All","80","682","76","3202","84","1097"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Brighton and Hove","E06000043","White","DFE","All","80","2304","76","896","84","3953"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Oxfordshire","E10000025","White","DFE","All","80","6170","76","873","84","3264"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","West Berkshire","E06000037","White","DFE","All","80","1742","76","806","84","3862"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Windsor and Maidenhead","E06000040","White","DFE","All","80","1256","76","1414","84","1340"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bournemouth","E06000028","White","DFE","All","80","1618","76","2832","84","1159"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bristol, City of","E06000023","White","DFE","All","80","3726","77","1161","84","2824"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Cornwall","E06000052","White","DFE","All","80","5445","77","782","84","1528"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Dorset","E10000009","White","DFE","All","80","3905","77","1476","84","837"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Gloucestershire","E10000013","White","DFE","All","80","6143","77","6004","84","308"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Plymouth","E06000026","White","DFE","All","80","2765","77","1731","84","2321"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Newcastle upon Tyne","E08000021","White","DFE","All","81","2324","77","938","84","603"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","North Tyneside","E08000022","White","DFE","All","81","2204","77","173","84","793"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","South Tyneside","E08000023","White","DFE","All","81","1515","77","1585","84","812"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Sunderland","E08000024","White","DFE","All","81","2883","77","7454","84","2648"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Lancashire","E10000017","White","DFE","All","81","11722","77","855","84","1351"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","East Riding of Yorkshire","E06000011","White","DFE","All","81","3381","77","374","84","660"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Northamptonshire","E10000021","White","DFE","All","81","7901","77","507","85","733"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Herefordshire, County of","E06000019","White","DFE","All","81","1826","77","849","85","767"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Shropshire","E06000051","White","DFE","All","81","2784","77","830","85","917"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Worcestershire","E10000034","White","DFE","All","81","5838","77","1160","85","5718"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Essex","E10000012","White","DFE","All","81","14607","77","653","85","1159"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Thurrock","E06000034","White","DFE","All","81","1692","77","2797","85","1650"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Islington","E09000019","White","DFE","All","81","1016","77","3108","85","889"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Sutton","E09000029","White","DFE","All","81","1595","77","1586","85","1156"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","East Sussex","E10000011","White","DFE","All","81","5021","78","2810","85","2682"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Hampshire","E10000014","White","DFE","All","81","13723","78","1209","85","7153"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Kent","E10000016","White","DFE","All","81","15624","78","796","85","775"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Medway","E06000035","White","DFE","All","81","2902","78","1532","85","509"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Portsmouth","E06000044","White","DFE","All","81","1962","78","4039","85","757"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Southampton","E06000045","White","DFE","All","81","2239","78","1444","85","765"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","South Gloucestershire","E06000025","White","DFE","All","81","3013","78","2790","85","6668"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Torbay","E06000027","White","DFE","All","81","1312","78","3014","85","7676"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","County Durham","E06000047","White","DFE","All","82","5545","78","648","85","1398"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Redcar and Cleveland","E06000003","White","DFE","All","82","1557","78","7055","85","2968"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Stockport","E08000007","White","DFE","All","82","2951","78","7948","85","1070"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Calderdale","E08000033","White","DFE","All","82","2213","78","1169","85","5376"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","York","E06000014","White","DFE","All","82","1847","78","1956","85","1873"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Walsall","E08000030","White","DFE","All","82","2389","78","652","86","1043"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Warwickshire","E10000031","White","DFE","All","82","5472","79","1991","86","1556"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Hertfordshire","E10000015","White","DFE","All","82","11479","79","1874","86","1407"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Haringey","E09000014","White","DFE","All","82","1642","79","1116","86","937"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Bexley","E09000004","White","DFE","All","82","2105","79","902","86","945"
