"Title","Phonics attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/2016"
"Data source","Phonics screening check and key stage 1 assessments https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measurement","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Value"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Swindon","E06000030","Black","ONS 5","All","78"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Torbay","E06000027","Black","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Wiltshire","E06000054","Black","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","County Durham","E06000047","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Darlington","E06000005","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Gateshead","E08000037","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Hartlepool","E06000001","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Middlesbrough","E06000002","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Newcastle upon Tyne","E08000021","Chinese","ONS 5","All","78"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","North Tyneside","E08000022","Chinese","ONS 5","All","77"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Northumberland","E06000057","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Redcar and Cleveland","E06000003","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","South Tyneside","E08000023","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Stockton-on-Tees","E06000004","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Sunderland","E08000024","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Blackburn with Darwen","E06000008","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Blackpool","E06000009","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Bolton","E08000001","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Bury","E08000002","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cheshire East","E06000049","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cheshire West and Chester","E06000050","Chinese","ONS 5","All","67"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cumbria","E10000006","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Halton","E06000006","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Knowsley","E08000011","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Lancashire","E10000017","Chinese","ONS 5","All","86"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Liverpool","E08000012","Chinese","ONS 5","All","82"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Manchester","E08000003","Chinese","ONS 5","All","90"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Oldham","E08000004","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Rochdale","E08000005","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Salford","E08000006","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Sefton","E08000014","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","St. Helens","E08000013","Chinese","ONS 5","All","76"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Stockport","E08000007","Chinese","ONS 5","All","83"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Tameside","E08000008","Chinese","ONS 5","All","79"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Trafford","E08000009","Chinese","ONS 5","All","93"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Warrington","E06000007","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Wigan","E08000010","Chinese","ONS 5","All","77"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Wirral","E08000015","Chinese","ONS 5","All","75"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Barnsley","E08000016","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Bradford","E08000032","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Calderdale","E08000033","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Doncaster","E08000017","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","East Riding of Yorkshire","E06000011","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Kirklees","E08000034","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Leeds","E08000035","Chinese","ONS 5","All","86"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","North East Lincolnshire","E06000012","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","North Lincolnshire","E06000013","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","North Yorkshire","E10000023","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Rotherham","E08000018","Chinese","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Sheffield","E08000019","Chinese","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Wakefield","E08000036","Chinese","ONS 5","All","83"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","York","E06000014","Chinese","ONS 5","All","63"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Derby","E06000015","Chinese","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Derbyshire","E10000007","Chinese","ONS 5","All","80"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Leicester","E06000016","Chinese","ONS 5","All","69"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Leicestershire","E10000018","Chinese","ONS 5","All","85"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Lincolnshire","E10000019","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Northamptonshire","E10000021","Chinese","ONS 5","All","87"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Nottingham","E06000018","Chinese","ONS 5","All","84"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Nottinghamshire","E10000024","Chinese","ONS 5","All","80"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Rutland","E06000017","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Birmingham","E08000025","Chinese","ONS 5","All","89"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Coventry","E08000026","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Dudley","E08000027","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Herefordshire, County of","E06000019","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Sandwell","E08000028","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Shropshire","E06000051","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Solihull","E08000029","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Staffordshire","E10000028","Chinese","ONS 5","All","87"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Stoke-on-Trent","E06000021","Chinese","ONS 5","All","82"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Telford and Wrekin","E06000020","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Walsall","E08000030","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Warwickshire","E10000031","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Wolverhampton","E08000031","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Worcestershire","E10000034","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Bedford","E06000055","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Cambridgeshire","E10000003","Chinese","ONS 5","All","89"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Central Bedfordshire","E06000056","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Essex","E10000012","Chinese","ONS 5","All","88"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Hertfordshire","E10000015","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Luton","E06000032","Chinese","ONS 5","All","75"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Norfolk","E10000020","Chinese","ONS 5","All","90"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Peterborough","E06000031","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Southend-on-Sea","E06000033","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Suffolk","E10000029","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Thurrock","E06000034","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Camden","E09000007","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","City of London","E09000001","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hackney","E09000012","Chinese","ONS 5","All","87"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hammersmith and Fulham","E09000013","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Haringey","E09000014","Chinese","ONS 5","All","80"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Islington","E09000019","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Kensington and Chelsea","E09000020","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Lambeth","E09000022","Chinese","ONS 5","All","86"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Lewisham","E09000023","Chinese","ONS 5","All","86"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Newham","E09000025","Chinese","ONS 5","All","88"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Southwark","E09000028","Chinese","ONS 5","All","84"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Tower Hamlets","E09000030","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Wandsworth","E09000032","Chinese","ONS 5","All","84"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Westminster","E09000033","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Barking and Dagenham","E09000002","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Barnet","E09000003","Chinese","ONS 5","All","92"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Bexley","E09000004","Chinese","ONS 5","All","93"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Brent","E09000005","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Bromley","E09000006","Chinese","ONS 5","All","86"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Croydon","E09000008","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Ealing","E09000009","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Enfield","E09000010","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Greenwich","E09000011","Chinese","ONS 5","All","92"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Harrow","E09000015","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Havering","E09000016","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hillingdon","E09000017","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hounslow","E09000018","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Kingston upon Thames","E09000021","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Merton","E09000024","Chinese","ONS 5","All","85"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Redbridge","E09000026","Chinese","ONS 5","All","86"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Richmond upon Thames","E09000027","Chinese","ONS 5","All","90"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Sutton","E09000029","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Waltham Forest","E09000031","Chinese","ONS 5","All","80"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Bracknell Forest","E06000036","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Brighton and Hove","E06000043","Chinese","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Buckinghamshire","E10000002","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","East Sussex","E10000011","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Hampshire","E10000014","Chinese","ONS 5","All","85"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Isle of Wight","E06000046","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Kent","E10000016","Chinese","ONS 5","All","93"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Medway","E06000035","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Milton Keynes","E06000042","Chinese","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Oxfordshire","E10000025","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Portsmouth","E06000044","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Reading","E06000038","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Slough","E06000039","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Southampton","E06000045","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Surrey","E10000030","Chinese","ONS 5","All","84"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","West Berkshire","E06000037","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","West Sussex","E10000032","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Windsor and Maidenhead","E06000040","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Wokingham","E06000041","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bath and North East Somerset","E06000022","Chinese","ONS 5","All","77"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bournemouth","E06000028","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bristol, City of","E06000023","Chinese","ONS 5","All","79"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Cornwall","E06000052","Chinese","ONS 5","All","73"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Devon","E10000008","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Dorset","E10000009","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Gloucestershire","E10000013","Chinese","ONS 5","All","83"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Isles of Scilly","E06000053","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","North Somerset","E06000024","Chinese","ONS 5","All","63"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Plymouth","E06000026","Chinese","ONS 5","All","77"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Poole","E06000029","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Somerset","E10000027","Chinese","ONS 5","All","67"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","South Gloucestershire","E06000025","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Swindon","E06000030","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Torbay","E06000027","Chinese","ONS 5","All","100"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Wiltshire","E06000054","Chinese","ONS 5","All",""
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","County Durham","E06000047","All","ONS 5","All","82"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Darlington","E06000005","All","ONS 5","All","86"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Gateshead","E08000037","All","ONS 5","All","80"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Hartlepool","E06000001","All","ONS 5","All","85"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Middlesbrough","E06000002","All","ONS 5","All","74"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Newcastle upon Tyne","E08000021","All","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","North Tyneside","E08000022","All","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Northumberland","E06000057","All","ONS 5","All","84"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Redcar and Cleveland","E06000003","All","ONS 5","All","82"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","South Tyneside","E08000023","All","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Stockton-on-Tees","E06000004","All","ONS 5","All","83"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Sunderland","E08000024","All","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Blackburn with Darwen","E06000008","All","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Blackpool","E06000009","All","ONS 5","All","80"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Bolton","E08000001","All","ONS 5","All","80"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Bury","E08000002","All","ONS 5","All","82"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cheshire East","E06000049","All","ONS 5","All","82"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cheshire West and Chester","E06000050","All","ONS 5","All","79"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cumbria","E10000006","All","ONS 5","All","77"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Halton","E06000006","All","ONS 5","All","76"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Knowsley","E08000011","All","ONS 5","All","78"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Lancashire","E10000017","All","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Liverpool","E08000012","All","ONS 5","All","75"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Manchester","E08000003","All","ONS 5","All","78"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Oldham","E08000004","All","ONS 5","All","76"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Rochdale","E08000005","All","ONS 5","All","82"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Salford","E08000006","All","ONS 5","All","79"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Sefton","E08000014","All","ONS 5","All","78"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","St. Helens","E08000013","All","ONS 5","All","78"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Stockport","E08000007","All","ONS 5","All","82"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Tameside","E08000008","All","ONS 5","All","77"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Trafford","E08000009","All","ONS 5","All","85"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Warrington","E06000007","All","ONS 5","All","83"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Wigan","E08000010","All","ONS 5","All","83"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Wirral","E08000015","All","ONS 5","All","80"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Barnsley","E08000016","All","ONS 5","All","79"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Bradford","E08000032","All","ONS 5","All","79"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Calderdale","E08000033","All","ONS 5","All","82"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Doncaster","E08000017","All","ONS 5","All","78"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","East Riding of Yorkshire","E06000011","All","ONS 5","All","81"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","All","ONS 5","All","77"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Kirklees","E08000034","All","ONS 5","All","78"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Leeds","E08000035","All","ONS 5","All","77"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","North East Lincolnshire","E06000012","All","ONS 5","All","80"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","North Lincolnshire","E06000013","All","ONS 5","All","83"
