"Title","Employment by qualification level"
"% of individuals in employment","Black or Black British","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","64.10%","%","161,290","103,392","70.70%","57.50%","505"
"% of individuals in employment","Other","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","59.90%","%","62,304","37,327","70.00%","49.80%","227"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","63.10%","%","549,792","346,864","66.50%","59.70%","1,931"
"% of individuals in employment","Unreported","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","74.20%","%","6,222,897","4,620,152","74.80%","73.70%","26,906"
"% of individuals in employment","White","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","70.10%","%","3,723,129","2,608,456","70.80%","69.40%","16,090"
"% of individuals in employment","Mixed","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","54.00%","%","44,231","23,888","66.60%","41.40%","150"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","57.50%","%","206,676","118,849","63.00%","52.00%","786"
"% of individuals in employment","Black or Black British","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","58.50%","%","104,185","60,898","66.60%","50.30%","351"
"% of individuals in employment","Other","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","49.60%","%","49,507","24,543","60.90%","38.30%","188"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","56.40%","%","404,599","228,178","60.40%","52.40%","1,475"
"% of individuals in employment","Unreported","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","68.70%","%","4,129,773","2,838,374","69.40%","68.00%","17,571"
"% of individuals in employment","White","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","77.90%","%","1947926","1516717","78.70%","77.00%","8555"
"% of individuals in employment","Mixed","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","63.60%","%","339459","215869","67.70%","59.40%","1288"
"% of individuals in employment","Black or Black British","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","67.40%","%","111999","75472","74.60%","60.20%","408"
"% of individuals in employment","Other","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","69.40%","%","132609","92016","75.90%","62.90%","480"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","65.40%","%","603773","394922","68.50%","62.30%","2250"
"% of individuals in employment","Unreported","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","74.90%","%","2556575","1914333","75.70%","74.10%","10827"
"% of individuals in employment","White","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","45.20%","%","2,539,586","1,148,010","46.10%","44.30%","12,280"
"% of individuals in employment","Mixed","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","38.50%","%","32,922","12,682","52.30%","24.80%","120"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","38.60%","%","327,013","126,311","42.80%","34.50%","1,335"
"% of individuals in employment","Black or Black British","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","42.40%","%","95,850","40,673","50.60%","34.20%","348"
"% of individuals in employment","Other","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","44.90%","%","104,112","46,738","52.80%","36.90%","376"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","40.40%","%","559,897","226,404","43.70%","37.20%","2,179"
"% of individuals in employment","Unreported","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","44.30%","%","3,101,099","1,375,049","45.20%","43.50%","14,465"
"% of individuals in employment","White","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","59.10%","%","85234","50360","64.30%","53.90%","342"
"% of individuals in employment","Mixed","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Black or Black British","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Other","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Unreported","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","55.90%","%","105244","58823","60.70%","51.10%","413"
"% of individuals in employment","White","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","78.20%","%","31,991,901","25,018,068","78.40%","78.00%","137,739"
"% of individuals in employment","Mixed","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","70.90%","%","432,276","306,673","74.70%","67.20%","1,436"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","68.90%","%","2,562,403","1,765,137","70.40%","67.40%","9,497"
"% of individuals in employment","Black or Black British","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","72.80%","%","1,137,769","828,861","75.10%","70.60%","3,769"
"% of individuals in employment","Other","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","68.70%","%","868,895","596,535","71.30%","66.00%","2,979"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","69.90%","%","5,001,343","3,497,206","71.00%","68.90%","17,681"
"% of individuals in employment","Unreported","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","65.10%","%","32013","20846","79.00%","51.30%","114"
"% of individuals in employment","All","ONS 5+1","2016","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","77.10%","%","37,025,257","28,536,120","77.30%","76.90%","155,534"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","90.00%","%","5866945","5278176","90.40%","89.60%","23034"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","86.20%","%","86629","74640","92.90%","79.40%","254"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","91.30%","%","607683","554796","93.20%","89.40%","2039"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","90.30%","%","226914","204842","93.70%","86.90%","721"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","85.20%","%","209597","178627","89.60%","80.80%","629"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","89.60%","%","1130823","1012905","91.10%","88.00%","3643"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","89.90%","%","7003163","6295794","90.30%","89.50%","26698"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","86.60%","%","3119932","2701757","87.20%","86.00%","12891"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","83.80%","%","36473.5","30578","94.60%","73.00%","111.5"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","80.20%","%","128699","103158.5","86.20%","74.10%","417.5"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","84.10%","%","63570.5","53486.5","92.00%","76.20%","205.5"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","76.60%","%","35742","27373.5","89.20%","63.90%","107.5"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","81.10%","%","264485","214596.5","85.30%","77.00%","842"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","86.20%","%","3386137","2917987.5","86.80%","85.60%","13739"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","82.00%","%","2784635","2283100","82.70%","81.30%","11746"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","70.30%","%","31854.5","22387","83.90%","56.70%","108.5"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","70.70%","%","139515","98668.5","77.40%","64.00%","442.5"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","62.80%","%","64240.5","40364.5","73.40%","52.30%","201.5"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","59.70%","%","34755","20735.5","74.10%","45.20%","110.5"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","67.40%","%","270365","182155.5","72.30%","62.40%","863"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","80.70%","%","3055182","2465437.5","81.40%","80.00%","12610"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","79.40%","%","1806176","1434463","80.30%","78.50%","7493"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","74.10%","%","88721","65706","81.70%","66.40%","312"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","73.30%","%","50703","37145","84.40%","62.10%","151"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","72.20%","%","177704","128219","77.80%","66.50%","604"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","78.70%","%","1985195","1563137","79.60%","77.80%","8103"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","83.40%","%","1206012","1005541","84.40%","82.30%","4994"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","83.40%","%","168072","140175","88.10%","78.70%","605"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","80.50%","%","54340","43768","89.40%","71.70%","191"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","80.00%","%","87018","69575","87.30%","72.60%","285"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","81.90%","%","324543","265891","85.50%","78.40%","1134"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","83.10%","%","1532148","1272575","84.00%","82.10%","6135"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","54.30%","%","1249757","678238","55.60%","53.00%","5632"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","63.40%","%","152061","96423","69.70%","57.10%","560"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","48.90%","%","42087","20588","61.40%","36.40%","153"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","62.40%","%","46005","28689","74.20%","50.50%","160"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","59.30%","%","260746","154741","64.30%","54.40%","946"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","55.10%","%","1511856","833665","56.30%","53.90%","6583"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","72.10%","%","50006","36041","78.50%","65.70%","190"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","67.40%","%","58795","39620","73.60%","61.20%","219"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","83.40%","%","16083463","13417316","83.70%","83.10%","65980"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","77.10%","%","207182","159648","82.10%","72.00%","661"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","82.30%","%","1289778","1061372","84.10%","80.50%","4394"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","79.70%","%","502633","400716","82.80%","76.60%","1625"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","78.10%","%","435774","340351","81.60%","74.60%","1375"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","80.60%","%","2435367","1962087","81.90%","79.20%","8055"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","83.00%","%","18532476","15388216","83.30%","82.80%","74087"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","84.00%","%","6592102","5538206","84.40%","83.60%","28808"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","80.70%","%","112504","90757","86.90%","74.40%","384"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","72.50%","%","582203","422229","75.50%","69.50%","2164"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","78.50%","%","280998","220539","82.60%","74.30%","941"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","71.80%","%","242888","174352","76.70%","66.90%","802"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","74.50%","%","1218593","907877","76.60%","72.40%","4291"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","82.50%","%","7815138","6449861","82.90%","82.10%","33119"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","79.50%","%","2651113","2108739","80.30%","78.80%","11726.5"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","80.50%","%","35211","28338.5","92.00%","69.00%","114.5"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","62.90%","%","137919","86747","69.50%","56.30%","508.5"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","69.60%","%","86715","60326","78.30%","60.90%","269"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","63.30%","%","39999","25336.5","76.30%","50.40%","132.5"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","67.00%","%","299844","200748","71.50%","62.40%","1024.5"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","78.20%","%","2952307","2309935","79.00%","77.50%","12757"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","72.00%","%","2918092","2100681","72.70%","71.20%","13375.5"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","64.90%","%","42499","27581.5","77.10%","52.70%","146.5"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","49.00%","%","127192","62300","56.00%","42.00%","489.5"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","65.30%","%","74094","48359","74.60%","56.00%","251"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","58.10%","%","28936","16820.5","73.10%","43.20%","104.5"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","56.90%","%","272721","155061","61.70%","52.00%","991.5"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","70.70%","%","3193807","2257420","71.40%","69.90%","14376"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","64.50%","%","1838983","1186112","65.50%","63.50%","8473"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","39.50%","%","105612","41756","47.10%","31.90%","397"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","59.10%","%","52267","30864","70.20%","47.90%","187"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","46.20%","%","204922","94621","51.70%","40.60%","772"
"% of individuals in employment","Unreported","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","All","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","62.70%","%","2044768","1281210","63.60%","61.70%","9248"
"% of individuals in employment","White","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","71.00%","%","826217","586945","72.50%","69.60%","3718"
"% of individuals in employment","Mixed","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%","?","?","?","?","?"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","49.10%","%","153708","75516","55.40%","42.90%","615"
"% of individuals in employment","Black or Black British","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","52.30%","%","59267","30982","62.90%","41.70%","213"
"% of individuals in employment","Other","ONS 5+1","2017","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","52.50%","%","71078","37305","61.90%","43.00%","268"
