"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type"," Number of stop and searches "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)","Notes","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White British","ONS 2001 16+1","Thames Valley","Police Force Area","14,394"," 20,760 ","1,766,978","8.15","69.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White Irish","ONS 2001 16+1","Thames Valley","Police Force Area","225"," 20,760 ","23,732","9.48","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other White background","ONS 2001 16+1","Thames Valley","Police Force Area","1,235"," 20,760 ","128,936","9.58","5.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Asian","ONS 2001 16+1","Thames Valley","Police Force Area","359"," 20,760 ","40,986","8.76","1.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Black background","ONS 2001 16+1","Thames Valley","Police Force Area","256"," 20,760 ","7,475","34.25","1.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other ethnic group","ONS 2001 16+1","Thames Valley","Police Force Area","117"," 20,760 ","15,803","7.40","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Thames Valley","Police Force Area","184"," 20,760 ","13,068","14.08","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","Thames Valley","Police Force Area","117"," 20,760 ","7,787","15.03","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black African","ONS 2001 16+1","Thames Valley","Police Force Area","567"," 20,760 ","42,293","13.41","2.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black Caribbean","ONS 2001 16+1","Thames Valley","Police Force Area","683"," 20,760 ","19,245","35.49","3.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Chinese","ONS 2001 16+1","Thames Valley","Police Force Area","47"," 20,760 ","16,783","2.80","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","Thames Valley","Police Force Area","325"," 20,760 ","70,905","4.58","1.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Asian","ONS 2001 16+1","Thames Valley","Police Force Area","138"," 20,760 ","18,042","7.65","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black African","ONS 2001 16+1","Thames Valley","Police Force Area","78"," 20,760 ","6,915","11.28","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Thames Valley","Police Force Area","532"," 20,760 ","17,961","29.62","2.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Unreported","ONS 2001 16+1","Thames Valley","Police Force Area","1,354"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Pakistani","ONS 2001 16+1","Thames Valley","Police Force Area","1,503"," 20,760 ","72,863","20.63","7.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White British","ONS 2001 16+1","Warwickshire","Police Force Area","3,847"," 4,783 ","482,607","7.97","80.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White Irish","ONS 2001 16+1","Warwickshire","Police Force Area","28"," 4,783 ","5,216","5.37","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other White background","ONS 2001 16+1","Warwickshire","Police Force Area","230"," 4,783 ","17,865","12.87","4.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Asian","ONS 2001 16+1","Warwickshire","Police Force Area","48"," 4,783 ","4,300","11.16","1.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Black background","ONS 2001 16+1","Warwickshire","Police Force Area","48"," 4,783 ","537","89.39","1.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other ethnic group","ONS 2001 16+1","Warwickshire","Police Force Area","20"," 4,783 ","2,298","8.70","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Warwickshire","Police Force Area","33"," 4,783 ","1,555","21.22","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","Warwickshire","Police Force Area","0"," 4,783 ","284","0.00","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black African","ONS 2001 16+1","Warwickshire","Police Force Area","82"," 4,783 ","2,173","37.74","1.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black Caribbean","ONS 2001 16+1","Warwickshire","Police Force Area","86"," 4,783 ","1,733","49.62","1.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Chinese","ONS 2001 16+1","Warwickshire","Police Force Area","7"," 4,783 ","2,349","2.98","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","Warwickshire","Police Force Area","127"," 4,783 ","16,435","7.73","2.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Asian","ONS 2001 16+1","Warwickshire","Police Force Area","12"," 4,783 ","2,606","4.60","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black African","ONS 2001 16+1","Warwickshire","Police Force Area","12"," 4,783 ","698","17.19","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Warwickshire","Police Force Area","137"," 4,783 ","3,090","44.34","2.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Unreported","ONS 2001 16+1","Warwickshire","Police Force Area","93"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Pakistani","ONS 2001 16+1","Warwickshire","Police Force Area","66"," 4,783 ","1,728","38.19","1.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White British","ONS 2001 16+1","West Mercia","Police Force Area","11,796"," 14,121 ","1,135,987","10.38","83.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White Irish","ONS 2001 16+1","West Mercia","Police Force Area","57"," 14,121 ","6,328","9.01","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other White background","ONS 2001 16+1","West Mercia","Police Force Area","730"," 14,121 ","34,201","21.34","5.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Asian","ONS 2001 16+1","West Mercia","Police Force Area","128"," 14,121 ","4,522","28.31","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Black background","ONS 2001 16+1","West Mercia","Police Force Area","101"," 14,121 ","661","152.80","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other ethnic group","ONS 2001 16+1","West Mercia","Police Force Area","47"," 14,121 ","2,112","22.25","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","West Mercia","Police Force Area","63"," 14,121 ","2,538","24.82","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","West Mercia","Police Force Area","73"," 14,121 ","1,718","42.49","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black African","ONS 2001 16+1","West Mercia","Police Force Area","80"," 14,121 ","2,252","35.52","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black Caribbean","ONS 2001 16+1","West Mercia","Police Force Area","205"," 14,121 ","2,149","95.39","1.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Chinese","ONS 2001 16+1","West Mercia","Police Force Area","8"," 14,121 ","3,545","2.26","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","West Mercia","Police Force Area","178"," 14,121 ","7,952","22.38","1.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Asian","ONS 2001 16+1","West Mercia","Police Force Area","52"," 14,121 ","3,936","13.21","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black African","ONS 2001 16+1","West Mercia","Police Force Area","33"," 14,121 ","1,247","26.46","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","West Mercia","Police Force Area","156"," 14,121 ","5,745","27.15","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Unreported","ONS 2001 16+1","West Mercia","Police Force Area","112"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Pakistani","ONS 2001 16+1","West Mercia","Police Force Area","414"," 14,121 ","7,523","55.03","2.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White British","ONS 2001 16+1","West Midlands","Police Force Area","11,273"," 22,481 ","1,806,708","6.24","50.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White Irish","ONS 2001 16+1","West Midlands","Police Force Area","124"," 22,481 ","39,183","3.16","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other White background","ONS 2001 16+1","West Midlands","Police Force Area","869"," 22,481 ","73,247","11.86","3.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Asian","ONS 2001 16+1","West Midlands","Police Force Area","567"," 22,481 ","59,008","9.61","2.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Black background","ONS 2001 16+1","West Midlands","Police Force Area","648"," 22,481 ","28,880","22.44","2.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other ethnic group","ONS 2001 16+1","West Midlands","Police Force Area","320"," 22,481 ","42,068","7.61","1.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","West Midlands","Police Force Area","126"," 22,481 ","14,953","8.43","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","West Midlands","Police Force Area","227"," 22,481 ","48,727","4.66","1.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black African","ONS 2001 16+1","West Midlands","Police Force Area","494"," 22,481 ","55,557","8.89","2.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black Caribbean","ONS 2001 16+1","West Midlands","Police Force Area","1,633"," 22,481 ","79,632","20.51","7.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Chinese","ONS 2001 16+1","West Midlands","Police Force Area","66"," 22,481 ","21,430","3.08","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","West Midlands","Police Force Area","1,039"," 22,481 ","185,271","5.61","4.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Asian","ONS 2001 16+1","West Midlands","Police Force Area","92"," 22,481 ","21,964","4.19","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black African","ONS 2001 16+1","West Midlands","Police Force Area","84"," 22,481 ","6,053","13.88","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","West Midlands","Police Force Area","777"," 22,481 ","53,234","14.60","3.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Unreported","ONS 2001 16+1","West Midlands","Police Force Area","1,480"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Pakistani","ONS 2001 16+1","West Midlands","Police Force Area","4,142"," 22,481 ","200,545","20.65","18.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White British","ONS 2001 16+1","West Yorkshire","Police Force Area","25,635"," 33,230 ","1,746,295","14.68","77.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White Irish","ONS 2001 16+1","West Yorkshire","Police Force Area","67"," 33,230 ","14,910","4.49","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other White background","ONS 2001 16+1","West Yorkshire","Police Force Area","906"," 33,230 ","58,613","15.46","2.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Asian","ONS 2001 16+1","West Yorkshire","Police Force Area","328"," 33,230 ","22,272","14.73","1.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Black background","ONS 2001 16+1","West Yorkshire","Police Force Area","248"," 33,230 ","6,210","39.94","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other ethnic group","ONS 2001 16+1","West Yorkshire","Police Force Area","44"," 33,230 ","20,091","2.19","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","West Yorkshire","Police Force Area","137"," 33,230 ","7,577","18.08","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","West Yorkshire","Police Force Area","419"," 33,230 ","15,632","26.80","1.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black African","ONS 2001 16+1","West Yorkshire","Police Force Area","150"," 33,230 ","24,685","6.08","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black Caribbean","ONS 2001 16+1","West Yorkshire","Police Force Area","529"," 33,230 ","15,581","33.95","1.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Chinese","ONS 2001 16+1","West Yorkshire","Police Force Area","2"," 33,230 ","10,783","0.19","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","West Yorkshire","Police Force Area","202"," 33,230 ","53,152","3.80","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Asian","ONS 2001 16+1","West Yorkshire","Police Force Area","89"," 33,230 ","15,098","5.89","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black African","ONS 2001 16+1","West Yorkshire","Police Force Area","56"," 33,230 ","4,624","12.11","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","West Yorkshire","Police Force Area","418"," 33,230 ","20,827","20.07","1.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Unreported","ONS 2001 16+1","West Yorkshire","Police Force Area","1,358"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Pakistani","ONS 2001 16+1","West Yorkshire","Police Force Area","4,000"," 33,230 ","189,708","21.09","12.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White British","ONS 2001 16+1","Wiltshire","Police Force Area","5,463"," 6,322 ","616,753","8.86","86.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White Irish","ONS 2001 16+1","Wiltshire","Police Force Area","14"," 6,322 ","4,233","3.31","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other White background","ONS 2001 16+1","Wiltshire","Police Force Area","196"," 6,322 ","21,883","8.96","3.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Asian","ONS 2001 16+1","Wiltshire","Police Force Area","44"," 6,322 ","5,893","7.47","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other Black background","ONS 2001 16+1","Wiltshire","Police Force Area","91"," 6,322 ","995","91.46","1.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other ethnic group","ONS 2001 16+1","Wiltshire","Police Force Area","17"," 6,322 ","1,842","9.23","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Wiltshire","Police Force Area","42"," 6,322 ","2,266","18.53","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Bangladeshi","ONS 2001 16+1","Wiltshire","Police Force Area","39"," 6,322 ","1,531","25.47","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black African","ONS 2001 16+1","Wiltshire","Police Force Area","71"," 6,322 ","3,136","22.64","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black Caribbean","ONS 2001 16+1","Wiltshire","Police Force Area","159"," 6,322 ","1,958","81.21","2.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Chinese","ONS 2001 16+1","Wiltshire","Police Force Area","16"," 6,322 ","2,164","7.39","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","Wiltshire","Police Force Area","46"," 6,322 ","8,448","5.45","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Asian","ONS 2001 16+1","Wiltshire","Police Force Area","7"," 6,322 ","2,830","2.47","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black African","ONS 2001 16+1","Wiltshire","Police Force Area","13"," 6,322 ","1,224","10.62","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Wiltshire","Police Force Area","82"," 6,322 ","3,474","23.60","1.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Unreported","ONS 2001 16+1","Wiltshire","Police Force Area","255"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Pakistani","ONS 2001 16+1","Wiltshire","Police Force Area","22"," 6,322 ","1,507","14.60","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","All - excluding BTP","Police Force Area","883808"," 841,399 ","56,075,912","15.76","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","All - including BTP","Police Force Area","897163"," 852,465 ","56,075,912","16.00","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Avon & Somerset","Police Force Area","24672"," 23,728 ","1,599,555","15.42","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Bedfordshire","Police Force Area","6453"," 5,515 ","615,061","10.49","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","British Transport Police","Police Force Area","13355"," 11,066 ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Cambridgeshire","Police Force Area","12948"," 12,292 ","804,841","16.09","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Cheshire","Police Force Area","6668"," 6,541 ","1,027,709","6.49","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Cleveland","Police Force Area","24704"," 24,616 ","557,227","44.33","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Cumbria","Police Force Area","10462"," 9,616 ","499,858","20.93","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Derbyshire","Police Force Area","6332"," 6,211 ","1,018,438","6.22","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Devon & Cornwall","Police Force Area","13737"," 13,125 ","1,668,218","8.23","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Dorset","Police Force Area","8503"," 8,329 ","744,041","11.43","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Durham","Police Force Area","12084"," 12,058 ","618,806","19.53","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Dyfed-Powys","Police Force Area","9260"," 8,988 ","515,114","17.98","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Essex","Police Force Area","9043"," 8,726 ","1,724,950","5.24","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Gloucestershire","Police Force Area","4539"," 4,445 ","596,984","7.60","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Greater Manchester","Police Force Area","27675"," 26,812 ","2,682,528","10.32","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Gwent","Police Force Area","4127"," 3,947 ","576,754","7.16","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Hampshire","Police Force Area","29700"," 27,917 ","1,897,991","15.65","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Hertfordshire","Police Force Area","25068"," 22,302 ","1,116,062","22.46","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Humberside","Police Force Area","6647"," 6,512 ","917,647","7.24","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Kent","Police Force Area","9018"," 8,969 ","1,727,665","5.22","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Lancashire","Police Force Area","16024"," 15,748 ","1,460,893","10.97","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Leicestershire","Police Force Area","4623"," 4,376 ","1,017,697","4.54","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Lincolnshire","Police Force Area","9030"," 8,942 ","713,653","12.65","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","London, City of","Police Force Area","2640"," 2,231 "," N/A "," N/A ","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Merseyside","Police Force Area","36360"," 35,855 ","1,381,189","26.33","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Metropolitan Police","Police Force Area","288642"," 270,086 ","8,166,566","35.34","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Norfolk","Police Force Area","13275"," 13,070 ","857,888","15.47","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","North Wales","Police Force Area","5227"," 5,097 ","687,937","7.60","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","North Yorkshire","Police Force Area","7921"," 7,685 ","796,427","9.95","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Northamptonshire","Police Force Area","8674"," 8,427 ","691,952","12.54","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Northumbria","Police Force Area","37977"," 37,843 ","1,420,853","26.73","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Nottinghamshire","Police Force Area","5476"," 5,166 ","1,091,482","5.02","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","South Wales","Police Force Area","16194"," 12,879 ","1,283,651","12.62","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","South Yorkshire","Police Force Area","21843"," 21,218 ","1,343,601","16.26","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Staffordshire","Police Force Area","14782"," 14,538 ","1,097,497","13.47","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Suffolk","Police Force Area","5301"," 5,049 ","728,163","7.28","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Surrey","Police Force Area","15251"," 14,399 ","1,132,390","13.47","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Sussex","Police Force Area","16579"," 16,444 ","1,606,932","10.32","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Thames Valley","Police Force Area","22114"," 20,760 ","2,269,772","9.74","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Warwickshire","Police Force Area","4876"," 4,783 ","545,474","8.94","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","West Mercia","Police Force Area","14233"," 14,121 ","1,222,416","11.64","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","West Midlands","Police Force Area","23961"," 22,481 ","2,736,460","8.76","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","West Yorkshire","Police Force Area","34588"," 33,230 ","2,226,058","15.54","100.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Wiltshire","Police Force Area","6577"," 6,322 ","680,137","9.67","100.0%","","","","","",""
