"Title","NHS workforce appointments from shortlisting"
"Location","England"
"Time period","2016/17"
"Data source","NHS England"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-06-11"
"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Numerator","Denominator","Value","Value_type","Relative_likelihood_White:Other","Comments"
"Percentage of shortlisted applicants who are appointed for an NHS job","Imperial College Healthcare NHS Trust","RYJ","White","White & Other","London","Grouped region","Acute","630","2962","0.212694","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Imperial College Healthcare NHS Trust","RYJ","Other","White & Other","London","Grouped region","Acute","1088","6629","0.164127","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","White","White & Other","Midlands & East","Grouped region","Mental Health","91","822","0.110706","%","0.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","Other","White & Other","Midlands & East","Grouped region","Mental Health","48","242","0.198347","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Western Sussex Hospitals NHS Foundation Trust","RYR","White","White & Other","South","Grouped region","Acute","1212","9208","0.131625","%","1.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Western Sussex Hospitals NHS Foundation Trust","RYR","Other","White & Other","South","Grouped region","Acute","270","2355","0.11465","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Cambridgeshire Community Services NHS Trust","RYV","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","303","1486","0.203903","%","2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Cambridgeshire Community Services NHS Trust","RYV","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","42","412","0.101942","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Birmingham Community Healthcare NHS Foundation Trust","RYW","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","519","2858","0.181596","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Birmingham Community Healthcare NHS Foundation Trust","RYW","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","333","2542","0.130999","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Central London Community Healthcare NHS Trust","RYX","White","White & Other","London","Grouped region","Community Provider Trust","41","2770","0.014801","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Central London Community Healthcare NHS Trust","RYX","Other","White & Other","London","Grouped region","Community Provider Trust","47","5586","0.008414","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Kent Community Health NHS Foundation Trust","RYY","White","White & Other","South","Grouped region","Community Provider Trust","586","6215","0.094288","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Kent Community Health NHS Foundation Trust","RYY","Other","White & Other","South","Grouped region","Community Provider Trust","169","3467","0.048745","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Bradford District Care NHS Foundation Trust","TAD","White","White & Other","North","Grouped region","Mental Health","168","860","0.195349","%","1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Bradford District Care NHS Foundation Trust","TAD","Other","White & Other","North","Grouped region","Mental Health","109","553","0.197107","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sheffield Health & Social Care NHS Foundation Trust","TAH","White","White & Other","North","Grouped region","Mental Health","248","1454","0.170564","%","0.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sheffield Health & Social Care NHS Foundation Trust","TAH","Other","White & Other","North","Grouped region","Mental Health","59","305","0.193443","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Black Country Partnership NHS Foundation Trust","TAJ","White","White & Other","Midlands & East","Grouped region","Mental Health","97","145","0.668966","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Black Country Partnership NHS Foundation Trust","TAJ","Other","White & Other","Midlands & East","Grouped region","Mental Health","46","82","0.560976","%","-",""
