"Title","Prosecutions and convictions"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-11"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age Group","Age Group Type","Value","Denominator","Numerator"
"Percentage of defendants convicted","2016","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.9","960","700"
"Percentage of defendants convicted","2016","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69.7","2705","1886"
"Percentage of defendants convicted","2016","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.7","191","135"
"Percentage of defendants convicted","2016","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.9","898","646"
"Percentage of defendants convicted","2016","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75.3","2778","2092"
"Percentage of defendants convicted","2016","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.6","9172","6657"
"Percentage of defendants convicted","2016","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","36.8","87","32"
"Percentage of defendants convicted","2016","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","61.3","111","68"
"Percentage of defendants convicted","2016","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","63.6","11","7"
"Percentage of defendants convicted","2016","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","55.6","27","15"
"Percentage of defendants convicted","2016","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","55.5","4495","2494"
"Percentage of defendants convicted","2016","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","65.1","507","330"
"Percentage of defendants convicted","2016","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","38","92","35"
"Percentage of defendants convicted","2016","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","62.4","125","78"
"Percentage of defendants convicted","2016","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","64.3","14","9"
"Percentage of defendants convicted","2016","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","60.6","33","20"
"Percentage of defendants convicted","2016","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","56.1","4773","2680"
"Percentage of defendants convicted","2016","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","64.9","538","349"
"Percentage of defendants convicted","2016","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","60","5","3"
"Percentage of defendants convicted","2016","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.4","14","10"
"Percentage of defendants convicted","2016","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","66.7","3","2"
"Percentage of defendants convicted","2016","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","83.3","6","5"
"Percentage of defendants convicted","2016","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","66.9","278","186"
"Percentage of defendants convicted","2016","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","61.3","31","19"
