"Measure","Physical Activity Level","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography Code","Geography type","Gender","Gender_type","Age Bracket","Age Bracket type","NS SEC","NS SEC type","Value","Denominator","Numerator","Upper CI","Lower CI","Number of Respondents"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","58.90%","8757","5159","60.50%","57.30%","8305"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","65.80%","186","122","76.80%","52.80%","211"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","56.00%","205","115","67.90%","43.30%","152"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","30"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","49"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","70.40%","62","43","85.00%","49.90%","51"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","39"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","59.80%","24994","14949","60.70%","58.90%","27469"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","60.20%","21865","13159","61.10%","59.20%","24794"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","66.50%","870","578","70.60%","62.00%","904"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","54.50%","1350","736","58.80%","50.10%","973"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","52.50%","297","156","60.70%","44.10%","253"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","43.50%","177","77","54.40%","33.30%","153"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","61.00%","269","164","70.30%","50.70%","219"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North West","E12000002","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","47.90%","166","80","57.40%","38.50%","173"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","63.20%","31095","19644","63.90%","62.40%","35153"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","63.40%","26984","17096","64.10%","62.60%","30877"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","62.80%","1610","1012","65.90%","59.70%","1945"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","58.90%","1307","770","62.90%","54.70%","1219"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","66.10%","338","223","73.20%","58.20%","317"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","57.20%","174","100","68.00%","45.60%","176"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","72.50%","431","312","78.50%","65.60%","369"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South East","E12000008","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","52.50%","250","131","60.60%","44.20%","250"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","63.70%","19496","12421","64.70%","62.70%","21812"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","63.70%","18026","11482","64.70%","62.60%","20438"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","66.90%","721","482","71.50%","61.90%","764"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","61.10%","265","162","69.10%","52.60%","220"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","53.10%","121","64","66.80%","38.80%","96"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","62.70%","46","29","76.00%","47.20%","61"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","61.30%","215","132","73.50%","47.60%","153"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","South West","E12000009","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","67.70%","103","70","81.10%","50.60%","80"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","57.50%","19804","11396","58.60%","56.50%","18791"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","58.50%","15980","9355","59.60%","57.40%","16535"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","57.30%","705","404","62.80%","51.70%","604"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","49.60%","2022","1004","54.00%","45.20%","1029"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","48.40%","531","257","58.10%","38.90%","295"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","60.00%","102","61","75.00%","42.90%","63"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","69.80%","276","193","78.40%","59.60%","162"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","West Midlands","E12000005","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","65.20%","188","122","76.80%","51.60%","103"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","59.70%","18828","11250","60.90%","58.50%","14780"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","60.30%","16554","9984","61.60%","59.10%","13614"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","63.50%","538","342","69.70%","56.80%","400"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","54.70%","1153","630","60.80%","48.40%","449"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","43.00%","215","92","55.30%","31.40%","118"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","35"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","57.90%","163","94","71.00%","43.50%","94"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","Yorkshire","E12000003","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","60.20%","145","87","74.20%","44.30%","70"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","75.90%","27119","20572","76.90%","74.80%","12744"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","78.70%","19416","15285","79.80%","77.60%","9830"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","79.30%","1166","925","83.20%","74.80%","614"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","64.30%","3649","2345","67.80%","60.60%","1212"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","68.20%","1111","758","73.90%","61.90%","388"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","58.80%","354","208","68.30%","48.50%","152"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","73.80%","1038","765","79.00%","67.70%","408"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","74.10%","386","286","82.50%","63.40%","140"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","67.40%","31429","21188","68.30%","66.50%","23674"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","69.90%","21985","15377","70.90%","68.90%","17691"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","68.60%","3662","2512","71.20%","65.90%","2669"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","53.20%","3292","1751","56.70%","49.60%","1800"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","55.90%","748","418","63.30%","48.20%","460"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","57.20%","435","249","65.50%","48.50%","272"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","72.30%","756","546","77.40%","66.50%","483"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","60.70%","552","335","68.20%","52.60%","299"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","65.40%","29447","19258","66.20%","64.60%","29805"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","68.70%","21330","14657","69.60%","67.80%","22976"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","62.40%","2579","1610","65.00%","59.80%","2694"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","50.50%","3264","1648","53.60%","47.40%","2378"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","56.50%","894","505","62.00%","50.90%","663"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","52.70%","296","156","61.30%","43.90%","268"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","70.40%","494","348","76.10%","64.10%","418"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","56.50%","591","334","63.80%","48.90%","408"
"Percentage of people at each activity level","Physically active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","63.50%","32535","20665","64.30%","62.70%","33185"
"Percentage of people at each activity level","Physically active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","64.90%","27408","17793","65.70%","64.10%","28962"
"Percentage of people at each activity level","Physically active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","62.00%","1333","827","65.60%","58.30%","1541"
"Percentage of people at each activity level","Physically active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","53.40%","1851","989","57.50%","49.20%","1185"
"Percentage of people at each activity level","Physically active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","54.70%","1010","552","59.70%","49.50%","728"
"Percentage of people at each activity level","Physically active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","47.90%","177","85","57.90%","38.00%","176"
"Percentage of people at each activity level","Physically active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","64.70%","388","251","72.00%","56.70%","339"
"Percentage of people at each activity level","Physically active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","46.00%","368","169","54.80%","37.40%","254"
