"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Geography","Geography_Code","Gender","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","31","%","6107"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","41","%","5982"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","28","%","447171"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","24","%","228508"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","33","%","218663"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","28","%","408568"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","24","%","208704"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","33","%","199864"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","39","%","1593"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","35","%","823"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","43","%","770"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","6","%","464"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","4","%","242"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","9","%","222"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","4","%","2178"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","3","%","1082"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","5","%","1096"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","29","%","34368"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","26","%","17657"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","33","%","16711"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","34","%","10889"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","31","%","5694"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","38","%","5195"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","26","%","5313"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","22","%","2724"
"Percentage of pupils reaching the key stage 2 higher standard in grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","30","%","2589"
